region,county,product,quantity
East Midlands,East Lindsey,blue stilton cheese,8694243
East Midlands,East Lindsey,diced vernison,8694189
Scotland,Falkirk,british parsnips loose,8690976
East Midlands,East Lindsey,british fresh turkey mince,8688006
East Midlands,East Lindsey,chocolate twist,8684226
Scotland,Falkirk,beef sausages,8680644
East Midlands,East Lindsey,wristwatch,8679411
East Midlands,East Lindsey,courgette loose,8676468
East Midlands,East Lindsey,denim jeams,8673480
East Midlands,East Lindsey,beef mince,8673183
Scotland,Falkirk,salmon fillets,8672472
East Midlands,East Lindsey,semi skimmed milk,8671428
East Midlands,East Lindsey,grey blazers,8670672
Scotland,Falkirk,play station 3,8669313
East Midlands,East Lindsey,hp envy laptop,8665983
Scotland,Falkirk,gameboy color,8665191
Scotland,Falkirk,olive oil spread,8664858
Scotland,Falkirk,Almond milk,8663454
East Midlands,East Lindsey,white shirt,8663229
Scotland,Falkirk,mild cheddar cheese,8661726
East Midlands,East Lindsey,croisant ,8658999
East Midlands,East Lindsey,21 day mature rump steak,8658531
East Midlands,East Lindsey,god of war 2,8656515
Scotland,Falkirk,pokemon blue,8655858
Scotland,Falkirk,British baking potatoes loose,8654904
East Midlands,East Lindsey,british parsnips loose,8654688
East Midlands,East Lindsey,hp dv 3000 laptop,8653905
East Midlands,East Lindsey,dyson vacuum cleaner,8652789
Scotland,Falkirk,oxford shoes,8651115
East Midlands,East Lindsey,Organic mILK,8650197
East Midlands,East Lindsey,21 day mature sirlion steak,8649351
Scotland,Falkirk,21 day mature rump steak,8648793
East Midlands,East Lindsey,red velvet cake,8646156
Scotland,Falkirk,Onions Loose,8644842
East Midlands,East Lindsey,Blueberry yoghurt,8644455
Scotland,Falkirk,chocolate fudge cake,8643600
Scotland,Falkirk,british fresh chicken thigh fillets,8643204
Scotland,Falkirk,god of war 2,8642808
Scotland,Falkirk,silk scarf,8642538
Scotland,Falkirk,dual shock controller,8642106
Scotland,Falkirk,Soy Milk,8641467
East Midlands,East Lindsey,vernison sausages,8637327
Scotland,Falkirk,grey blazers,8635599
Scotland,Falkirk,oxford shirt,8634807
East Midlands,East Lindsey,cotton tie,8633430
East Midlands,East Lindsey,Organic Kefir,8630640
Scotland,Falkirk,denim jacket,8628822
Scotland,Falkirk,Organic mILK,8627688
Scotland,Falkirk,halo combat evolved,8622729
East Midlands,East Lindsey,pokemon yellow,8619399
Scotland,Falkirk,macaron - x3,8619039
Scotland,Falkirk,flapjack,8618850
Scotland,Falkirk,dyson tower fan,8614980
Scotland,Falkirk,rice,8613189
East Midlands,East Lindsey,diced chicken breast,8613000
East Midlands,East Lindsey,pokemon red,8612541
East Midlands,East Lindsey,bosch washing machine,8612424
East Midlands,East Lindsey,goat cheese,8610624
Scotland,Falkirk,raspberries,8609994
Scotland,Falkirk,diced vernison,8608383
Scotland,Falkirk,dyson washing machine,8606916
East Midlands,East Lindsey,oxford shirt,8606376
East Midlands,East Lindsey,fresh turkey steak,8606097
East Midlands,East Lindsey,pain au raisins,8605953
East Midlands,East Lindsey,x-box 360,8605476
Scotland,Falkirk,Plain Greek yoghurt,8603586
East Midlands,East Lindsey,grey cardigan,8602083
Scotland,Falkirk,croisant ,8601840
Scotland,Falkirk,dyson vacuum cleaner,8598825
East Midlands,East Lindsey,hotpoint washing machine,8597142
East Midlands,East Lindsey,gameboy color,8596260
Scotland,Falkirk,fresh turkey steak,8596188
Scotland,Falkirk,easy peeler loose,8595738
East Midlands,East Lindsey,macaron - x3,8585829
Scotland,Falkirk,pain au raisins,8583966
Scotland,Falkirk,dell inspiron laptop,8583345
Scotland,Falkirk,Red pepper,8582949
Scotland,Falkirk,chicken sausages,8582895
East Midlands,East Lindsey,large king prawns,8581077
Scotland,Falkirk,brenton jumper,8580600
Scotland,Falkirk,Oats Milk,8577540
Scotland,Falkirk,linen shirt,8576298
Scotland,Falkirk,Slightly salted butter,8575803
Scotland,Falkirk,baby potatoes,8570700
Scotland,Falkirk,sea bass fillets,8569917
Scotland,Falkirk,Fairtrade Bananas Loose,8568180
Scotland,Falkirk,Lemon,8565174
Scotland,Falkirk,apple macbook pro mid 2009,8564400
Scotland,Falkirk,shortbread,8563662
East Midlands,East Lindsey,free range large eggs x12,8561781
Scotland,Falkirk,21 day mature sirlion steak,8557353
Scotland,Falkirk,beef mince,8557020
East Midlands,East Lindsey,dual shock controller,8555688
East Midlands,East Lindsey,Lemon,8551629
Scotland,Falkirk,almond croisant,8548965
Scotland,Falkirk,pokemon yellow,8544582
Scotland,Falkirk,Mixed pepper,8536608
East Midlands,East Lindsey,raspberries,8535024
Scotland,Falkirk,samsung washing machine,8532972
Scotland,Falkirk,silk tie,8524116
Scotland,Falkirk,bosch washing machine,8523711
Scotland,Falkirk,beans,8522550
East Midlands,East Lindsey,Soy Milk,8522496
East Midlands,East Lindsey,scottish salmon,8520714
Scotland,Falkirk,chocolate twist,8519769
Scotland,Falkirk,Organic Kefir,8516853
Scotland,Falkirk,skimmed milk,8510778
Scotland,Falkirk,courgette loose,8507484
Scotland,Falkirk,pain au chocolate,8507088
Scotland,Falkirk,vernison sausages,8506809
Scotland,Falkirk,jam doughnut,8505198
Scotland,Falkirk,mature cheddar cheese,8502732
East Midlands,East Lindsey,vanilla yoghurt,8500221
Scotland,Falkirk,semi skimmed milk,8497179
Scotland,Falkirk,cod fillets,8497107
Scotland,Falkirk,lg washing machine,8496711
Scotland,Falkirk,minecraft game - xbox,8496000
Scotland,Falkirk,gaming mouse,8495748
Scotland,Falkirk,white shirt,8494497
East Midlands,East Lindsey,minecraft game - xbox,8492724
Scotland,Falkirk,fine beans,8483139
Scotland,Falkirk,British carrots loose,8482626
Scotland,Falkirk,fresh whole turkey,8478459
Scotland,Falkirk,cheese cake,8477127
Scotland,Falkirk,wristwatch,8475444
Scotland,Falkirk,unsalted butter,8475147
Scotland,Falkirk,gaming keyboard,8472393
East Midlands,East Lindsey,denim jacket,8471637
Scotland,Falkirk,pokemon gold,8470944
Scotland,Falkirk,linen trousers,8470809
Scotland,Falkirk,aubergine,8470782
East Midlands,East Lindsey,silk scarf,8469837
Scotland,Falkirk,custard doughnut,8469405
Scotland,Falkirk,organic raspberry yoghurt,8464878
East Midlands,East Lindsey,21 day mature ribeye steak,8461629
Scotland,Falkirk,millionaire square,8461431
Scotland,Falkirk,british fresh turkey mince,8458074
Scotland,Falkirk,21 day mature ribeye steak,8456724
Scotland,Falkirk,red velvet cake,8453043
Scotland,Falkirk,blue stilton cheese,8452404
Scotland,Falkirk,classic bowtie,8451504
Scotland,Falkirk,grey cardigan,8451234
Scotland,Falkirk,diced chicken breast,8448741
Scotland,Falkirk,apple macbook air mid 2009,8445321
Scotland,Falkirk,british bramley cooking apples,8441082
Scotland,Falkirk,Blueberry yoghurt,8440398
Scotland,Falkirk,vanilla yoghurt,8439084
East Midlands,East Lindsey,Oats Milk,8437410
Scotland,Falkirk,wellington boots,8436168
Scotland,Falkirk,fresh whole chicken,8433270
Scotland,Falkirk,plastic sunshades,8412993
Scotland,Falkirk,Brocolli loose,8404875
Scotland,Falkirk,scottish salmon,8401599
Scotland,Falkirk,corn,8400798
Scotland,Falkirk,goat cheese,8399286
Scotland,Falkirk,hp envy laptop,8397612
Scotland,Falkirk,gameboy advance,8389701
Scotland,Falkirk,organic soured cream,8374113
Scotland,Falkirk,pokemon red,8373924
Scotland,Falkirk,pink blazers,8365680
Scotland,Falkirk,hotpoint washing machine,8355906
Scotland,Falkirk,celery,8354214
Scotland,Falkirk,british fresh chicken brest fillets,8332146
Scotland,Falkirk,hp dv 2000 laptop,8300655
East of England,East Cambridgeshire,wristwatch,4453704
East of England,East Cambridgeshire,chocolate twist,4393520
London,Greater London,wellington boots,4386320
East of England,East Cambridgeshire,gaming keyboard,4385296
East of England,East Cambridgeshire,Plain Greek yoghurt,4371132
East of England,East Cambridgeshire,21 day mature ribeye steak,4365096
East of England,East Cambridgeshire,Red pepper,4361156
East of England,East Cambridgeshire,dyson vacuum cleaner,4361020
East of England,East Cambridgeshire,hotpoint washing machine,4360304
East of England,East Cambridgeshire,fresh turkey steak,4358640
West Midlands,Warwickshire,macaron - x3,4356120
East of England,East Cambridgeshire,halo combat evolved,4353716
East of England,East Cambridgeshire,samsung washing machine,4345120
East of England,East Cambridgeshire,Brocolli loose,4343444
East of England,East Cambridgeshire,cheese cake,4341356
London,Greater London,pain au raisins,4340432
East of England,East Cambridgeshire,rice,4339584
East of England,East Cambridgeshire,British carrots loose,4339448
East of England,East Cambridgeshire,goat cheese,4335432
East of England,East Cambridgeshire,corned beef,4333492
East of England,East Cambridgeshire,organic soured cream,4331592
East of England,East Cambridgeshire,olive oil spread,4331176
East of England,East Cambridgeshire,Slightly salted butter,4330260
East of England,East Cambridgeshire,british fresh chicken thigh fillets,4330076
East of England,East Cambridgeshire,unsalted butter,4329000
East of England,East Cambridgeshire,vernison sausages,4326500
East of England,East Cambridgeshire,millionaire square,4325968
East of England,East Cambridgeshire,red velvet cake,4324988
East of England,East Cambridgeshire,free range large eggs x12,4323180
East of England,East Cambridgeshire,gameboy color,4323164
East of England,East Cambridgeshire,scottish salmon,4322376
East of England,East Cambridgeshire,dyson washing machine,4322332
East of England,East Cambridgeshire,british fresh turkey mince,4321288
West Midlands,Warwickshire,minecraft game - xbox,4321076
West Midlands,Warwickshire,mature cheddar cheese,4319464
East of England,East Cambridgeshire,pokemon yellow,4319408
East of England,East Cambridgeshire,mature cheddar cheese,4319344
East of England,East Cambridgeshire,silk scarf,4317716
East of England,East Cambridgeshire,hp envy laptop,4317584
East of England,East Cambridgeshire,semi skimmed milk,4316940
East of England,East Cambridgeshire,wellington boots,4316400
East of England,East Cambridgeshire,macaron - x3,4316036
East of England,East Cambridgeshire,classic bowtie,4314772
East of England,East Cambridgeshire,play station 3,4314516
London,Greater London,fine beans,4314328
East of England,East Cambridgeshire,silk tie,4314112
West Midlands,Warwickshire,brenton jumper,4314080
West Midlands,Warwickshire,gaming mouse,4310260
East of England,East Cambridgeshire,linen trousers,4309672
East of England,East Cambridgeshire,courgette loose,4307916
South East England,Kent,halo combat evolved,4307872
East of England,East Cambridgeshire,skimmed milk,4307852
East of England,East Cambridgeshire,21 day mature rump steak,4307604
East of England,East Cambridgeshire,raspberries,4307232
East of England,East Cambridgeshire,Oats Milk,4305988
East of England,East Cambridgeshire,denim jacket,4305668
West Midlands,Warwickshire,goat cheese,4305568
East of England,East Cambridgeshire,shortbread,4302292
East of England,East Cambridgeshire,fresh whole chicken,4302136
London,Greater London,cheese cake,4301388
London,Greater London,beef sausages,4300404
East of England,East Cambridgeshire,fine beans,4298264
West Midlands,Warwickshire,large king prawns,4298264
East of England,East Cambridgeshire,pink blazers,4297792
London,Greater London,Spring onions bunch,4297540
East of England,East Cambridgeshire,oxford shirt,4297348
West Midlands,Warwickshire,wellington boots,4297260
East of England,East Cambridgeshire,British baking potatoes loose,4297148
East of England,East Cambridgeshire,garlic,4296908
East of England,East Cambridgeshire,pokemon blue,4296752
East of England,East Cambridgeshire,pokemon red,4296436
West Midlands,Warwickshire,beef sausages,4296300
London,Greater London,dyson vacuum cleaner,4296168
East of England,East Cambridgeshire,pokemon gold,4296148
West Midlands,Warwickshire,linen trousers,4295864
London,Greater London,shortbread,4295840
West Midlands,Warwickshire,easy peeler loose,4295256
Scotland,Orkney,Organic mILK,4294740
West Midlands,Warwickshire,grey blazers,4293432
East of England,East Cambridgeshire,Spring onions bunch,4292900
East of England,East Cambridgeshire,croisant ,4291084
London,Greater London,organic raspberry yoghurt,4290992
West Midlands,Warwickshire,dell inspiron laptop,4290488
East of England,East Cambridgeshire,sea bass fillets,4289096
London,Greater London,corned beef,4288696
East of England,East Cambridgeshire,fresh whole turkey,4288476
London,Greater London,red velvet cake,4287652
East of England,East Cambridgeshire,british parsnips loose,4287352
West Midlands,Warwickshire,pokemon blue,4287308
West Midlands,Warwickshire,semi skimmed milk,4286672
East of England,East Cambridgeshire,lg washing machine,4285668
West Midlands,Warwickshire,Oats Milk,4285096
East of England,East Cambridgeshire,dell inspiron laptop,4284864
West Midlands,Warwickshire,Organic Kefir,4283232
Scotland,Orkney,white shirt,4282984
East of England,East Cambridgeshire,brenton t-shirt,4282172
East of England,East Cambridgeshire,diced chicken breast,4281716
London,Greater London,Brocolli loose,4279828
East of England,East Cambridgeshire,white shirt,4279424
West Midlands,Warwickshire,21 day mature ribeye steak,4279280
East of England,East Cambridgeshire,vanilla yoghurt,4277476
West Midlands,Warwickshire,god of war 2,4276788
London,Greater London,celery,4276252
West Midlands,Warwickshire,dual shock controller,4275592
West Midlands,Warwickshire,Onions Loose,4275372
Scotland,Orkney,british fresh chicken brest fillets,4275216
South East England,Kent,linen trousers,4274720
West Midlands,Warwickshire,mild cheddar cheese,4273944
London,Greater London,pokemon gold,4273812
East of England,East Cambridgeshire,Soy Milk,4273760
Scotland,Orkney,beans,4273024
London,Greater London,white shirt,4272848
East of England,East Cambridgeshire,grey cardigan,4272672
London,Greater London,organic soured cream,4272400
London,Greater London,dual shock controller,4272368
London,Greater London,pokemon red,4272352
East of England,East Cambridgeshire,denim jeams,4271920
Scotland,Orkney,cotton tie,4271416
East of England,East Cambridgeshire,dyson tower fan,4270496
West Midlands,Warwickshire,oxford shoes,4270124
West Midlands,Warwickshire,sea bass fillets,4269556
London,Greater London,vernison sausages,4269488
West Midlands,Warwickshire,diced chicken breast,4269000
London,Greater London,bosch washing machine,4268384
East of England,East Cambridgeshire,oxford shoes,4267516
London,Greater London,beans,4267060
East of England,East Cambridgeshire,flapjack,4266352
West Midlands,Warwickshire,british fresh chicken thigh fillets,4266336
West Midlands,Warwickshire,cod fillets,4266216
East of England,East Cambridgeshire,large king prawns,4266184
London,Greater London,british bramley cooking apples,4265732
Scotland,Orkney,blue stilton cheese,4265292
West Midlands,Warwickshire,fresh turkey steak,4265288
East of England,East Cambridgeshire,pain au raisins,4264832
London,Greater London,british fresh chicken brest fillets,4264160
Scotland,Orkney,British carrots loose,4263444
Scotland,Orkney,raspberries,4262596
West Midlands,Warwickshire,organic soured cream,4262480
London,Greater London,Plain Greek yoghurt,4262008
East of England,East Cambridgeshire,Fairtrade Bananas Loose,4261672
East of England,East Cambridgeshire,21 day mature sirlion steak,4261656
West Midlands,Warwickshire,21 day mature rump steak,4261432
East of England,East Cambridgeshire,Lemon,4261052
West Midlands,Warwickshire,plastic sunshades,4260312
West Midlands,Warwickshire,beef mince,4259604
West Midlands,Warwickshire,pain au chocolate,4258928
East of England,East Cambridgeshire,bosch washing machine,4258584
London,Greater London,Red pepper,4258220
West Midlands,Warwickshire,Brocolli loose,4257848
East of England,East Cambridgeshire,linen shirt,4257788
Scotland,Orkney,oxford shoes,4257548
London,Greater London,silk scarf,4257500
West Midlands,Warwickshire,free range large eggs x12,4256164
East of England,East Cambridgeshire,jam doughnut,4256136
West Midlands,Warwickshire,classic bowtie,4255868
West Midlands,Warwickshire,fine beans,4255860
Scotland,Orkney,large king prawns,4255672
West Midlands,Warwickshire,raspberries,4255496
London,Greater London,baby potatoes,4255328
East of England,East Cambridgeshire,x-box 360,4255196
Scotland,Orkney,hotpoint washing machine,4255024
East of England,East Cambridgeshire,organic raspberry yoghurt,4254864
West Midlands,Warwickshire,samsung washing machine,4254520
London,Greater London,skimmed milk,4254440
East of England,East Cambridgeshire,brenton jumper,4254440
West Midlands,Warwickshire,chocolate fudge cake,4254184
South East England,Kent,salmon fillets,4253772
London,Greater London,dell inspiron laptop,4253756
South East England,Kent,apple macbook air mid 2009,4253668
London,Greater London,courgette loose,4253392
East of England,East Cambridgeshire,british fresh chicken brest fillets,4252948
West Midlands,Warwickshire,scottish salmon,4252912
London,Greater London,grey cardigan,4252560
East of England,East Cambridgeshire,grey blazers,4252432
West Midlands,Warwickshire,Almond milk,4252148
London,Greater London,chocolate fudge cake,4252132
London,Greater London,play station 3,4251896
London,Greater London,x-box 360,4251528
East of England,East Cambridgeshire,blue stilton cheese,4251464
London,Greater London,custard doughnut,4251176
Scotland,Orkney,dell inspiron laptop,4250900
Scotland,Orkney,brenton jumper,4250832
London,Greater London,free range large eggs x12,4250540
London,Greater London,gameboy color,4250536
Scotland,Orkney,Soy Milk,4249960
London,Greater London,pain au chocolate,4249188
Scotland,Orkney,macaron - x3,4249016
East of England,East Cambridgeshire,beef sausages,4248928
London,Greater London,fresh turkey steak,4248716
West Midlands,Warwickshire,hp dv 3000 laptop,4248336
West Midlands,Warwickshire,brenton t-shirt,4247332
London,Greater London,british parsnips loose,4246896
West Midlands,Warwickshire,celery,4246716
London,Greater London,millionaire square,4246028
London,Greater London,hotpoint washing machine,4245432
East of England,East Cambridgeshire,Organic mILK,4245000
East of England,East Cambridgeshire,easy peeler loose,4244500
London,Greater London,brenton t-shirt,4244412
Scotland,Orkney,minecraft game - xbox,4244164
East of England,East Cambridgeshire,Onions Loose,4244116
West Midlands,Warwickshire,flapjack,4242672
East of England,East Cambridgeshire,hp dv 2000 laptop,4241744
West Midlands,Warwickshire,cotton tie,4241232
West Midlands,Warwickshire,gameboy color,4241148
Scotland,Orkney,samsung washing machine,4240612
South East England,Kent,21 day mature ribeye steak,4240020
West Midlands,Warwickshire,vanilla yoghurt,4239700
East of England,East Cambridgeshire,Sweet potatoes loose,4239376
East of England,East Cambridgeshire,hp dv 3000 laptop,4239256
East of England,East Cambridgeshire,gaming mouse,4239192
West Midlands,Warwickshire,Spring onions bunch,4238788
London,Greater London,flapjack,4238776
South East England,Kent,aubergine,4238464
West Midlands,Warwickshire,unsalted butter,4238080
West Midlands,Warwickshire,chocolate twist,4238064
London,Greater London,beef mince,4237912
Scotland,Orkney,croisant ,4237852
West Midlands,Warwickshire,dyson vacuum cleaner,4237812
South East England,Kent,classic bowtie,4237452
London,Greater London,hp dv 2000 laptop,4237308
East of England,East Cambridgeshire,cod fillets,4237308
West Midlands,Warwickshire,play station 3,4237240
West Midlands,Warwickshire,hotpoint washing machine,4236916
West Midlands,Warwickshire,halo combat evolved,4236776
South East England,Kent,sea bass fillets,4236372
West Midlands,Warwickshire,Red pepper,4236224
East of England,East Cambridgeshire,custard doughnut,4236172
East of England,East Cambridgeshire,celery,4236152
Scotland,Orkney,pain au chocolate,4235956
London,Greater London,rice,4235756
Scotland,Orkney,fine beans,4235276
East of England,East Cambridgeshire,beans,4234996
East of England,East Cambridgeshire,minecraft game - xbox,4234676
West Midlands,Warwickshire,linen shirt,4234596
West Midlands,Warwickshire,custard doughnut,4234524
West Midlands,Warwickshire,gaming keyboard,4234352
Scotland,Orkney,mild cheddar cheese,4233936
South East England,Kent,british fresh turkey mince,4233828
London,Greater London,21 day mature ribeye steak,4233768
West Midlands,Warwickshire,Slightly salted butter,4233288
East of England,East Cambridgeshire,Organic Kefir,4233232
East of England,East Cambridgeshire,god of war 2,4232848
London,Greater London,lg washing machine,4232840
London,Greater London,aubergine,4232668
London,Greater London,scottish salmon,4232588
London,Greater London,British baking potatoes loose,4232188
London,Greater London,mature cheddar cheese,4232144
East of England,East Cambridgeshire,corn,4231472
West Midlands,Warwickshire,skimmed milk,4231320
London,Greater London,denim jeams,4229332
West Midlands,Warwickshire,british fresh turkey mince,4229152
London,Greater London,linen shirt,4229016
London,Greater London,British carrots loose,4228900
Scotland,Orkney,organic soured cream,4228868
Scotland,Orkney,fresh whole chicken,4228660
London,Greater London,Sweet potatoes loose,4228424
London,Greater London,chicken sausages,4228148
South East England,Kent,Mixed pepper,4228104
West Midlands,Warwickshire,hp dv 2000 laptop,4227904
South East England,Kent,skimmed milk,4227632
London,Greater London,Lemon,4227504
Scotland,Orkney,rice,4226804
East of England,East Cambridgeshire,plastic sunshades,4226596
London,Greater London,gameboy advance,4226000
London,Greater London,chocolate twist,4225988
West Midlands,Warwickshire,Plain Greek yoghurt,4225892
West Midlands,Warwickshire,21 day mature sirlion steak,4225808
London,Greater London,croisant ,4225608
West Midlands,Warwickshire,british bramley cooking apples,4225192
London,Greater London,cotton tie,4224968
West Midlands,Warwickshire,British carrots loose,4224540
Scotland,Orkney,british bramley cooking apples,4223688
West Midlands,Warwickshire,apple macbook pro mid 2009,4223636
Scotland,Orkney,sea bass fillets,4223064
London,Greater London,almond croisant,4222592
London,Greater London,easy peeler loose,4222548
South East England,Kent,hp dv 2000 laptop,4222408
London,Greater London,cod fillets,4222136
East of England,East Cambridgeshire,aubergine,4222104
West Midlands,Warwickshire,denim jeams,4222020
London,Greater London,dyson tower fan,4221964
South East England,Kent,Brocolli loose,4221864
West Midlands,Warwickshire,fresh whole chicken,4221832
Scotland,Orkney,denim jeams,4221764
Scotland,Orkney,mature cheddar cheese,4221688
Scotland,Orkney,21 day mature ribeye steak,4221340
Scotland,Orkney,chocolate twist,4220928
East of England,East Cambridgeshire,cotton tie,4220780
West Midlands,Warwickshire,Sweet potatoes loose,4220716
South East England,Kent,beef sausages,4220304
Scotland,Orkney,courgette loose,4220060
London,Greater London,unsalted butter,4219480
South East England,Kent,Plain Greek yoghurt,4219300
South East England,Kent,beans,4219084
South East England,Kent,x-box 360,4218908
West Midlands,Warwickshire,cheese cake,4218692
Scotland,Orkney,Organic Kefir,4218640
West Midlands,Warwickshire,shortbread,4218324
Scotland,Orkney,cod fillets,4217448
South East England,Kent,gameboy color,4217208
West Midlands,Warwickshire,courgette loose,4216792
London,Greater London,macaron - x3,4216632
South East England,Kent,bosch washing machine,4216588
South East England,Kent,free range large eggs x12,4216540
London,Greater London,british fresh turkey mince,4216300
West Midlands,Warwickshire,garlic,4216292
East of England,East Cambridgeshire,chocolate fudge cake,4216252
London,Greater London,sea bass fillets,4215888
London,Greater London,pokemon yellow,4215392
West Midlands,Warwickshire,pain au raisins,4215392
Scotland,Orkney,grey cardigan,4215200
Scotland,Orkney,wellington boots,4214720
London,Greater London,Organic mILK,4214716
London,Greater London,wristwatch,4214568
South East England,Kent,diced chicken breast,4214208
London,Greater London,Mixed pepper,4214192
London,Greater London,vanilla yoghurt,4214012
West Midlands,Warwickshire,Mixed pepper,4213636
West Midlands,Warwickshire,pokemon gold,4213596
East of England,East Cambridgeshire,british bramley cooking apples,4213352
London,Greater London,fresh whole turkey,4213312
London,Greater London,hp envy laptop,4213276
Scotland,Orkney,semi skimmed milk,4213244
West Midlands,Warwickshire,olive oil spread,4213144
Scotland,Orkney,denim jacket,4213124
London,Greater London,large king prawns,4212660
Scotland,Orkney,flapjack,4212436
South East England,Kent,linen shirt,4212092
London,Greater London,god of war 2,4211828
West Midlands,Warwickshire,pink blazers,4211708
South East England,Kent,oxford shirt,4210960
Scotland,Orkney,Oats Milk,4210612
Scotland,Orkney,dyson tower fan,4210440
Scotland,Orkney,pokemon red,4209744
Scotland,Orkney,organic raspberry yoghurt,4209524
Scotland,Orkney,pokemon gold,4209040
Scotland,Orkney,unsalted butter,4208572
Scotland,Orkney,cheese cake,4208568
London,Greater London,goat cheese,4208132
West Midlands,Warwickshire,Soy Milk,4208124
South East England,Kent,apple macbook pro mid 2009,4208104
East of England,East Cambridgeshire,diced vernison,4208084
London,Greater London,Almond milk,4207904
South East England,Kent,dyson tower fan,4207804
London,Greater London,Organic Kefir,4207544
South East England,Kent,pokemon red,4206892
Scotland,Orkney,corned beef,4206660
Scotland,Orkney,hp envy laptop,4206352
Scotland,Orkney,beef sausages,4206260
South East England,Kent,jam doughnut,4205980
Scotland,Orkney,oxford shirt,4205840
Scotland,Orkney,skimmed milk,4205828
London,Greater London,oxford shirt,4205680
Scotland,Orkney,almond croisant,4205492
Scotland,Orkney,21 day mature sirlion steak,4205312
West Midlands,Warwickshire,grey cardigan,4205124
West Midlands,Warwickshire,pokemon yellow,4205088
South East England,Kent,shortbread,4205032
South East England,Kent,oxford shoes,4204896
